"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Проверка существования и отображения элементов","Тест авторизации.","","0","1","1","0","0"
"Проверка существования и отображения элементов","Тест перехода на другие страницы.","","0","0","1","0","0"
"Проверка существования и отображения элементов","Тест существования и отображения элементов, их работоспособности.","","1","0","2","0","0"
"Проверка существования и отображения элементов","Тест существования и отображения элементов.","","0","0","3","0","0"
