"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тесты Авторизации, отображения и работоспособности элементов страницы.","Тест существования и отображения элементов.","","0","0","3","0","0"
"Тесты Авторизации, отображения и работоспособности элементов страницы.","Тест существования и отображения элементов, их работоспособности.","","0","0","3","0","0"
"Тесты Авторизации, отображения и работоспособности элементов страницы.","Тест авторизации.","","0","1","1","0","0"
"Тесты Авторизации, отображения и работоспособности элементов страницы.","Тест перехода на другие страницы.","","0","0","1","0","0"
