"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тесты отображения элементов страницы.","Тест существования и отображения элементов.","","0","0","3","0","0"
"Тесты Авторизации.","Задание U3 тест авторизации с использованием DataProvider","","2","0","2","0","0"
"Тесты работоспособности элементов.","Тест существования и отображения элементов, их работоспособности.","","0","0","3","0","0"
"Тесты работоспособности элементов.","Тест работоспособности переходов на другие страницы.","","0","0","1","0","0"
"Тесты Авторизации.","Тест авторизации.","","1","0","1","0","0"
